timestamp,osc_address,osc_type,osc_data
1755587771363,/ppg,fff,"NaN,1.25217872E8,NaN"
1755587771363,/ppg,fff,"NaN,1.25175968E8,NaN"
1755587771363,/eeg,ffffff,"778.86444,1457.3993,568.93774,819.15753,NaN,NaN"
1755587771363,/eeg,ffffff,"836.08057,1240.2197,558.86444,840.5128,NaN,NaN"
1755587771364,/eeg,ffffff,"841.31866,1404.6154,765.9707,841.7216,NaN,NaN"
1755587771364,/eeg,ffffff,"784.90845,1591.978,819.15753,834.87177,NaN,NaN"
1755587771364,/eeg,ffffff,"768.3883,1374.7986,643.47986,833.663,NaN,NaN"
1755587771366,/eeg,ffffff,"831.6484,821.5751,440.0,828.022,NaN,NaN"
1755587771366,/eeg,ffffff,"862.27106,817.5458,584.2491,817.9487,NaN,NaN"
1755587771366,/eeg,ffffff,"809.89014,1525.4945,895.7143,799.81683,NaN,NaN"
1755587771366,/eeg,ffffff,"783.69965,1474.3224,693.8461,796.99634,NaN,NaN"
1755587771366,/eeg,ffffff,"825.2015,1167.2894,559.2674,809.89014,NaN,NaN"
1755587771366,/eeg,ffffff,"865.4945,1353.4432,740.18317,806.6667,NaN,NaN"
1755587771366,/eeg,ffffff,"831.6484,1650.0,877.5824,798.20514,NaN,NaN"
1755587771366,/acc,fff,"-0.11706543,0.19976807,0.9818115"
1755587771368,/acc,fff,"-0.11431885,0.19763184,0.9800415"
1755587771368,/acc,fff,"-0.11657715,0.20025635,0.9857788"
1755587771413,/eeg,ffffff,"771.2088,1372.381,666.4469,787.72894,NaN,NaN"
1755587771413,/eeg,ffffff,"791.75824,1008.1319,506.0806,788.5348,NaN,NaN"
1755587771413,/eeg,ffffff,"855.82416,1247.8755,628.5714,803.8461,NaN,NaN"
1755587771413,/eeg,ffffff,"856.2271,1367.5458,641.06226,808.68134,NaN,NaN"
1755587771413,/eeg,ffffff,"790.54944,1078.6447,506.48352,792.96704,NaN,NaN"
1755587771413,/eeg,ffffff,"777.6557,766.77655,419.45056,789.34064,NaN,NaN"
1755587771417,/eeg,ffffff,"843.73627,897.326,502.45422,810.696,NaN,NaN"
1755587771417,/eeg,ffffff,"843.3333,1298.2417,616.08057,806.6667,NaN,NaN"
1755587771417,/eeg,ffffff,"788.93774,1110.4762,452.89377,804.65204,NaN,NaN"
1755587771417,/eeg,ffffff,"771.6117,479.8901,287.69232,810.293,NaN,NaN"
1755587771417,/eeg,ffffff,"783.69965,870.7326,552.01465,799.81683,NaN,NaN"
1755587771417,/eeg,ffffff,"823.5897,1479.5604,642.674,801.8315,NaN,NaN"
1755587771417,/drlref,ff,"1610915.8,1598827.9"
1755587771418,/drlref,ff,"1610915.8,1598827.9"
1755587771418,/drlref,ff,"1610915.8,1598827.9"
1755587771418,/drlref,ff,"1610915.8,1599633.8"
1755587771418,/drlref,ff,"1610915.8,1598827.9"
1755587771418,/drlref,ff,"1610915.8,1598827.9"
1755587771418,/acc,fff,"-0.11340332,0.203125,0.993103"
1755587771418,/acc,fff,"-0.10168457,0.2084961,0.98358154"
1755587771418,/acc,fff,"-0.097839355,0.21118164,0.9897461"
1755587771439,/ppg,fff,"NaN,1.2510828E8,NaN"
1755587771439,/ppg,fff,"NaN,1.25087328E8,NaN"
1755587771439,/ppg,fff,"NaN,1.25120368E8,NaN"
1755587771440,/ppg,fff,"NaN,1.25065568E8,NaN"
1755587771443,/ppg,fff,"NaN,1.250148E8,NaN"
1755587771443,/ppg,fff,"NaN,1.25050256E8,NaN"
1755587771463,/eeg,ffffff,"802.6374,1075.8242,464.57877,804.2491,NaN,NaN"
1755587771463,/eeg,ffffff,"759.12085,770.0,378.75458,799.011,NaN,NaN"
1755587771463,/eeg,ffffff,"804.65204,1163.663,514.5421,809.0842,NaN,NaN"
1755587771464,/eeg,ffffff,"863.47986,1270.8425,541.53845,825.6044,NaN,NaN"
1755587771464,/eeg,ffffff,"832.8571,1146.7399,497.61905,821.978,NaN,NaN"
1755587771464,/eeg,ffffff,"782.0879,924.7253,418.24176,832.0513,NaN,NaN"
1755587771465,/eeg,ffffff,"796.1905,873.95605,440.40292,839.304,NaN,NaN"
1755587771466,/eeg,ffffff,"843.73627,1278.4982,581.4286,828.8278,NaN,NaN"
1755587771466,/eeg,ffffff,"855.82416,989.19415,437.17947,821.5751,NaN,NaN"
1755587771467,/eeg,ffffff,"801.4286,638.6447,334.83517,809.89014,NaN,NaN"
1755587771467,/eeg,ffffff,"775.64105,1067.3627,472.63736,801.02563,NaN,NaN"
1755587771468,/eeg,ffffff,"838.0952,1288.9744,534.68866,820.3663,NaN,NaN"
1755587771469,/acc,fff,"-0.08746338,0.20910645,0.98968506"
1755587771469,/acc,fff,"-0.07611084,0.2062378,0.97998047"
1755587771469,/acc,fff,"-0.06573486,0.20526123,0.9789429"
1755587771495,/eeg,ffffff,"879.59705,1176.1538,530.65936,832.0513,NaN,NaN"
1755587771495,/eeg,ffffff,"818.3516,1217.2528,564.90845,813.1135,NaN,NaN"
1755587771496,/eeg,ffffff,"789.34064,1327.2528,524.21246,804.2491,NaN,NaN"
1755587771496,/eeg,ffffff,"855.82416,1021.8315,448.0586,822.7839,NaN,NaN"
1755587771497,/eeg,ffffff,"885.2381,1067.3627,510.91574,845.7509,NaN,NaN"
