timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755583558.6577280,572.1612,1304.2858,1049.2307,616.4835,nan,nan,,,,,,,,,
1755583558.6587243,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.6633792,496.8132,1540.403,1159.2307,541.9414,nan,nan,,,,,,,,,
1755583558.6690302,415.0183,1645.5677,1203.956,542.74725,nan,nan,,,,,,,,,
1755583558.6697278,,,,,,,-0.009216309,0.2366333,0.9953613,,,,,,
1755583558.6746814,622.52747,179.70695,664.43225,674.90845,nan,nan,,,,,,,,,
1755583558.6803327,689.41394,259.8901,587.0696,698.68134,nan,nan,,,,,,,,,
1755583558.6859837,755.4945,255.05495,539.5238,677.326,nan,nan,,,,,,,,,
1755583558.6916349,758.71796,50.3663,392.45422,646.7033,nan,nan,,,,,,,,,
1755583558.6965308,,,,,,,-0.0014648438,0.23205566,0.9963379,,,,,,
1755583558.6972861,753.8828,0.0,274.79852,669.67035,nan,nan,,,,,,,,,
1755583558.7029371,794.57874,4.4322343,246.99634,685.78754,nan,nan,,,,,,,,,
1755583558.7085884,881.2088,0.0,203.07692,660.40295,nan,nan,,,,,,,,,
1755583558.7137403,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.7142396,927.5458,1.6117216,103.150185,617.6923,nan,nan,,,,,,,,,
1755583558.7198906,906.1905,0.0,44.725273,622.1245,nan,nan,,,,,,,,,
1755583558.7233336,,,,,,,0.0026245117,0.22271729,0.98114014,,,,,,
1755583558.7255418,735.34796,101.94139,35.457874,639.45056,nan,nan,,,,,,,,,
1755583558.7311931,689.81683,383.1868,91.86813,673.2967,nan,nan,,,,,,,,,
1755583558.7368441,738.5714,605.6044,120.87912,710.7692,nan,nan,,,,,,,,,
1755583558.7424953,778.0586,635.82416,128.5348,706.337,nan,nan,,,,,,,,,
1755583558.7481465,929.15753,753.47986,41.0989,805.8608,nan,nan,,,,,,,,,
1755583558.7501366,,,,,,,-0.0030517578,0.21014404,0.975708,,,,,,
1755583558.7537975,905.38464,555.2381,13.699634,780.07324,nan,nan,,,,,,,,,
1755583558.7594488,854.61536,1204.762,53.589745,832.0513,nan,nan,,,,,,,,,
1755583558.7651000,917.8755,1498.4982,46.739925,832.8571,nan,nan,,,,,,,,,
