timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755585013.6743798,802.23444,827.2161,906.99634,822.381,nan,nan,,,,,,,,,
1755585013.6776948,,,,,,,,,,,,,nan,115440370.0,nan
1755585013.6782911,824.7985,835.6777,911.02563,813.5165,nan,nan,,,,,,,,,
1755585013.6811376,,,,,,,-0.22857666,0.10284424,0.9871826,,,,,,
1755585013.6822021,828.8278,837.28937,909.011,822.381,nan,nan,,,,,,,,,
1755585013.6861131,795.78754,827.619,904.9817,821.1722,nan,nan,,,,,,,,,
1755585013.6900241,790.9524,820.7692,892.8938,801.4286,nan,nan,,,,,,,,,
1755585013.6933403,,,,,,,,,,,,,nan,115456480.0,nan
1755585013.6939352,822.7839,822.381,890.07324,819.5604,nan,nan,,,,,,,,,
1755585013.6978464,832.4542,824.7985,899.34064,835.6777,nan,nan,,,,,,,,,
1755585013.7005963,,,,,,,-0.23309326,0.09820557,0.9924927,,,,,,
1755585013.7017574,811.0989,825.2015,899.34064,819.5604,nan,nan,,,,,,,,,
1755585013.7044520,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.7056684,804.2491,826.8132,900.14655,823.1868,nan,nan,,,,,,,,,
1755585013.7089860,,,,,,,,,,,,,nan,115417000.0,nan
1755585013.7095795,823.1868,823.1868,900.54944,832.0513,nan,nan,,,,,,,,,
1755585013.7134905,842.9304,826.4103,903.36993,830.4396,nan,nan,,,,,,,,,
1755585013.7174015,821.1722,823.9927,901.75824,812.3077,nan,nan,,,,,,,,,
1755585013.7200551,,,,,,,-0.2479248,0.08496094,1.0009155,,,,,,
1755585013.7213128,792.5641,814.3223,892.49084,807.0696,nan,nan,,,,,,,,,
1755585013.7246315,,,,,,,,,,,,,nan,115372670.0,nan
1755585013.7252238,815.5311,824.7985,901.3553,838.0952,nan,nan,,,,,,,,,
1755585013.7291348,828.022,826.8132,900.14655,834.0659,nan,nan,,,,,,,,,
1755585013.7330458,819.9634,823.9927,895.31134,814.3223,nan,nan,,,,,,,,,
1755585013.7369568,801.8315,825.6044,897.72894,806.26373,nan,nan,,,,,,,,,
1755585013.7395141,,,,,,,-0.2532959,0.068603516,0.99468994,,,,,,
1755585013.7396615,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.7402773,,,,,,,,,,,,,nan,115334800.0,nan
1755585013.7408681,806.26373,821.1722,897.72894,811.9048,nan,nan,,,,,,,,,
1755585013.7447791,826.4103,821.5751,893.2967,815.9341,nan,nan,,,,,,,,,
1755585013.7486901,826.0073,826.4103,891.685,811.0989,nan,nan,,,,,,,,,
1755585013.7526011,813.1135,823.9927,896.9231,821.978,nan,nan,,,,,,,,,
1755585013.7559230,,,,,,,,,,,,,nan,115289670.0,nan
1755585013.7565122,815.5311,822.381,902.1612,840.10986,nan,nan,,,,,,,,,
1755585013.7589729,,,,,,,-0.24206543,0.06286621,0.9793701,,,,,,
1755585013.7604234,831.2454,824.3956,901.3553,831.2454,nan,nan,,,,,,,,,
1755585013.7643344,825.6044,818.7546,894.10254,807.0696,nan,nan,,,,,,,,,
1755585013.7682455,816.337,823.1868,902.5641,817.9487,nan,nan,,,,,,,,,
1755585013.7715685,,,,,,,,,,,,,nan,115187330.0,nan
1755585013.7721565,813.5165,826.8132,905.78754,841.31866,nan,nan,,,,,,,,,
1755585013.7748709,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.7760675,821.978,823.1868,900.9524,844.1392,nan,nan,,,,,,,,,
1755585013.7784317,,,,,,,-0.24938965,0.05218506,0.9608154,,,,,,
1755585013.7799788,828.4249,823.1868,900.54944,822.7839,nan,nan,,,,,,,,,
1755585013.7838898,818.3516,825.6044,899.34064,826.4103,nan,nan,,,,,,,,,
1755585013.7872143,,,,,,,,,,,,,nan,115209090.0,nan
1755585013.7878008,809.89014,826.4103,903.36993,847.3626,nan,nan,,,,,,,,,
1755585013.7917118,823.9927,828.022,907.8022,849.7802,nan,nan,,,,,,,,,
1755585013.7956228,828.4249,828.8278,907.3993,824.3956,nan,nan,,,,,,,,,
1755585013.7978904,,,,,,,-0.25756836,0.05670166,0.94073486,,,,,,
1755585013.7995341,820.3663,826.8132,904.9817,807.8755,nan,nan,,,,,,,,,
1755585013.8028598,,,,,,,,,,,,,nan,115202640.0,nan
1755585013.8034451,815.12823,832.8571,905.78754,813.1135,nan,nan,,,,,,,,,
1755585013.8073561,817.1429,830.84247,902.1612,815.5311,nan,nan,,,,,,,,,
1755585013.8100803,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.8112671,845.34796,829.2308,902.5641,837.28937,nan,nan,,,,,,,,,
1755585013.8151782,847.3626,832.4542,910.6227,841.31866,nan,nan,,,,,,,,,
1755585013.8173494,,,,,,,-0.27374268,0.06201172,0.94610596,,,,,,
1755585013.8185055,,,,,,,,,,,,,nan,115183300.0,nan
1755585013.8190892,817.5458,838.9011,917.0696,834.87177,nan,nan,,,,,,,,,
1755585013.8230004,796.5934,834.87177,909.41394,815.12823,nan,nan,,,,,,,,,
1755585013.8269114,809.89014,825.6044,901.75824,803.44324,nan,nan,,,,,,,,,
1755585013.8308225,829.6337,830.4396,910.6227,813.1135,nan,nan,,,,,,,,,
1755585013.8341513,,,,,,,,,,,,,nan,115151870.0,nan
1755585013.8347335,813.5165,832.0513,914.2491,823.1868,nan,nan,,,,,,,,,
1755585013.8368082,,,,,,,-0.28149414,0.07495117,0.9645996,,,,,,
1755585013.8386445,793.7729,826.8132,909.41394,833.2601,nan,nan,,,,,,,,,
1755585013.8425558,811.9048,825.6044,908.20514,830.4396,nan,nan,,,,,,,,,
1755585013.8452897,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.8464668,836.08057,833.2601,914.2491,837.28937,nan,nan,,,,,,,,,
1755585013.8497968,,,,,,,,,,,,,nan,115128500.0,nan
1755585013.8503778,836.4835,839.304,916.6667,840.9158,nan,nan,,,,,,,,,
1755585013.8542888,813.5165,831.2454,910.2198,837.28937,nan,nan,,,,,,,,,
1755585013.8562670,,,,,,,-0.25946045,0.08856201,0.9572754,,,,,,
1755585013.8581998,804.2491,820.3663,900.54944,836.08057,nan,nan,,,,,,,,,
1755585013.8621111,829.2308,826.0073,906.5934,839.707,nan,nan,,,,,,,,,
1755585013.8654425,,,,,,,,,,,,,nan,115169600.0,nan
1755585013.8660221,834.4689,835.6777,915.8608,843.73627,nan,nan,,,,,,,,,
1755585013.8699331,803.0403,828.022,907.3993,830.0366,nan,nan,,,,,,,,,
1755585013.8738441,805.05493,830.4396,907.8022,836.08057,nan,nan,,,,,,,,,
1755585013.8757260,,,,,,,-0.26037598,0.11505127,0.92059326,,,,,,
1755585013.8777552,838.9011,832.8571,915.8608,848.97437,nan,nan,,,,,,,,,
1755585013.8804991,,,,,,,,,,1581904.8,1599633.8,,,,
1755585013.8810880,,,,,,,,,,,,,nan,115187330.0,nan
1755585013.8816664,832.0513,826.4103,914.65204,854.61536,nan,nan,,,,,,,,,
1755585013.8855774,805.05493,822.7839,910.2198,842.52747,nan,nan,,,,,,,,,
1755585013.8894885,811.50183,830.0366,912.6374,835.6777,nan,nan,,,,,,,,,
